Feature,Importance
PPE,0.14879682490641227
spread1,0.1394867763782795
MDVP:Fo(Hz),0.09947998133108994
spread2,0.07001960672541786
Jitter:DDP,0.06896320300340636
MDVP:RAP,0.060984283428292235
NHR,0.04504840729633039
MDVP:Flo(Hz),0.04499638698770549
D2,0.04483710200410169
MDVP:Fhi(Hz),0.03941342089994366
DFA,0.029801320570407262
MDVP:APQ,0.02612742042905629
Shimmer:DDA,0.02343726943359269
MDVP:Jitter(Abs),0.020311257888689736
Shimmer:APQ5,0.02000221453826304
RPDE,0.01953991717644099
MDVP:Shimmer(dB),0.019256002018048602
MDVP:Shimmer,0.018925404868182946
HNR,0.01885286100385863
MDVP:Jitter(%),0.016521134563452115
MDVP:PPQ,0.013939889425064586
Shimmer:APQ3,0.011259315123963746
